Gene.symbol	ID	adj.P.Val	P.Value	t	B	logFC	Gene.title
RSU1P2	1557672_s_at	0.04499	0.00172583	3.789361	-1.095628	2.06232272	Ras suppressor protein 1 pseudogene 2
	234090_at	0.04499	0.0017273	3.7889484	-1.096418	2.02770394	
LOC100291666	233831_at	0.04499	0.00172366	3.7899695	-1.094463	1.71199059	serologically defined breast cancer antigen NY-BR-40
LPCAT2	239598_s_at	0.04499	0.00172359	3.7899911	-1.094421	1.52261822	lysophosphatidylcholine acyltransferase 2
IMP4	212411_at	0.04499	0.00172525	-3.7895226	-1.095319	-1.0992307	"IMP4 homolog, U3 small nucleolar ribonucleoprotein"
DPP7	238012_at	0.04499	0.00172554	-3.7894429	-1.095471	-1.32175403	dipeptidyl peptidase 7
POLA2	204441_s_at	0.04499	0.00172716	-3.7889891	-1.096341	-1.37388047	"DNA polymerase alpha 2, accessory subunit"
PLXNC1	213241_at	0.04497	0.00172084	3.7907644	-1.09294	1.00452619	plexin C1
VAV3	224221_s_at	0.04496	0.00171959	3.7911163	-1.092266	2.3380259	vav guanine nucleotide exchange factor 3
	241271_at	0.04494	0.00171525	3.7923394	-1.089923	2.59496225	
SLC2A14///SLC2A3	222088_s_at	0.04494	0.00170483	3.7952904	-1.084271	2.09515085	solute carrier family 2 member 14///solute carrier family 2 member 3
OR51A1P	234770_at	0.04494	0.00169386	3.7984169	-1.078283	1.9725262	olfactory receptor family 51 subfamily A member 1 pseudogene
IVNS1ABP	244235_at	0.04494	0.00171757	3.7916846	-1.091178	1.72594046	influenza virus NS1A binding protein
LPCAT2	222833_at	0.04494	0.00170792	3.7944131	-1.085952	1.7111147	lysophosphatidylcholine acyltransferase 2
KCTD4	239787_at	0.04494	0.00171566	3.7922233	-1.090146	1.70240884	potassium channel tetramerization domain containing 4
LOC105378702	1561440_at	0.04494	0.00171313	3.7929382	-1.088777	1.58233393	uncharacterized LOC105378702
ASXL3	233536_at	0.04494	0.00171292	3.7929979	-1.088662	1.56114168	"additional sex combs like 3, transcriptional regulator"
ACTN1	208636_at	0.04494	0.00169871	3.7970326	-1.080935	1.52231651	actinin alpha 1
	242729_at	0.04494	0.00171681	3.7918979	-1.090769	1.48298698	
	242075_at	0.04494	0.00169346	3.798531	-1.078065	1.40126133	
RDH5	236291_at	0.04494	0.00170939	3.7939964	-1.08675	1.17017876	retinol dehydrogenase 5
BATF	205965_at	0.04494	0.00169641	3.7976867	-1.079682	1.16169856	basic leucine zipper ATF-like transcription factor
SKAP2	204362_at	0.04494	0.00170839	3.7942788	-1.086209	1.14039203	src kinase associated phosphoprotein 2
APOH	205216_s_at	0.04494	0.0017112	3.7934847	-1.08773	1.11484986	apolipoprotein H
LOC101060521///POLR3E	218016_s_at	0.04494	0.00170382	-3.7955764	-1.083724	-1.09327139	DNA-directed RNA polymerase III subunit RPC5///RNA polymerase III subunit E
FBXO4	223493_at	0.04494	0.001705	-3.7952422	-1.084364	-1.13903894	F-box protein 4
NUCKS1	229353_s_at	0.04494	0.00169487	-3.7981276	-1.078838	-1.1621092	nuclear casein kinase and cyclin dependent kinase substrate 1
TSR1	239042_at	0.04494	0.00170852	-3.7942427	-1.086278	-1.1871408	"TSR1, ribosome maturation factor"
IQGAP3	241939_at	0.04494	0.00169231	-3.7988605	-1.077434	-1.57142757	IQ motif containing GTPase activating protein 3
SNHG1///SNORD22///SNORD25///SNORD26///SNORD27///SNORD28///SNORD30///SNORD31///SNORD29	224610_at	0.04494	0.00171794	-3.7915787	-1.09138	-1.61946431	"small nucleolar RNA host gene 1///small nucleolar RNA, C/D box 22///small nucleolar RNA, C/D box 25///small nucleolar RNA, C/D box 26///small nucleolar RNA, C/D box 27///small nucleolar RNA, C/D box 28///small nucleolar RNA, C/D box 30///small nucleolar RNA, C/D box 31///small nucleolar RNA, C/D box 29"
ADA	204639_at	0.04494	0.00171719	-3.791791	-1.090974	-1.63066289	adenosine deaminase
HS2ST1	203285_s_at	0.04494	0.00170911	-3.7940744	-1.0866	-1.6780303	heparan sulfate 2-O-sulfotransferase 1
PDIA6	208638_at	0.04494	0.00170489	-3.7952724	-1.084306	-1.72737624	protein disulfide isomerase family A member 6
IHH	215420_at	0.04494	0.00170075	-3.7964511	-1.082048	-1.78265545	indian hedgehog
PDCD5	227751_at	0.04494	0.00170051	-3.7965192	-1.081918	-1.808489	programmed cell death 5
PRDX1	208680_at	0.04494	0.00171106	-3.7935234	-1.087656	-1.81205453	peroxiredoxin 1
PDIA6	216640_s_at	0.04494	0.00170452	-3.7953779	-1.084104	-2.15615937	protein disulfide isomerase family A member 6
GYPB	216833_x_at	0.04494	0.00170316	-3.7957642	-1.083364	-2.67217853	glycophorin B (MNS blood group)
ALKBH3	226127_at	0.04494	0.00171738	-3.7917386	-1.091074	-3.05203014	"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase"
IGK///IGKC	211644_x_at	0.04494	0.00170833	-3.7942974	-1.086173	-5.01515883	immunoglobulin kappa locus///immunoglobulin kappa constant
RAD50	208393_s_at	0.0449	0.00168997	-3.7995313	-1.076149	-1.75905004	RAD50 double strand break repair protein
	234384_at	0.04488	0.00168766	3.8001922	-1.074884	2.3494681	
FLG-AS1	1570423_at	0.04488	0.00168662	3.8004916	-1.07431	2.25464383	FLG antisense RNA 1
DR1	207654_x_at	0.04488	0.00168863	3.7999155	-1.075413	1.42341112	down-regulator of transcription 1
	243031_at	0.04488	0.00168767	3.800189	-1.07489	1.24218093	
GBE1	203282_at	0.04488	0.001688	3.8000947	-1.07507	1.22127945	"glucan (1,4-alpha-), branching enzyme 1"
TMUB2	218419_s_at	0.04482	0.00168118	3.8020561	-1.071314	1.0768221	transmembrane and ubiquitin like domain containing 2
ABCE1	201872_s_at	0.04481	0.00167998	-3.8024022	-1.070651	-1.31229396	ATP binding cassette subfamily E member 1
SETD6	219751_at	0.0448	0.00167889	-3.8027169	-1.070048	-1.19592646	SET domain containing 6
MIR6733///EBNA1BP2	201323_at	0.0448	0.00167854	-3.8028167	-1.069857	-1.49521915	microRNA 6733///EBNA1 binding protein 2
BTN2A1	203944_x_at	0.04479	0.00167625	3.8034797	-1.068588	1.14453732	butyrophilin subfamily 2 member A1
MRPL1	223154_at	0.04479	0.00167705	-3.8032465	-1.069034	-1.3477394	mitochondrial ribosomal protein L1
	243032_at	0.04477	0.00167383	3.8041792	-1.067248	2.21610356	
RGS3	203823_at	0.04477	0.00167382	3.8041799	-1.067247	1.12033298	regulator of G-protein signaling 3
PAPSS2	203059_s_at	0.04477	0.00167464	3.8039437	-1.067699	1.02771271	3'-phosphoadenosine 5'-phosphosulfate synthase 2
SLC7A1	212295_s_at	0.04477	0.00167351	-3.8042704	-1.067073	-1.37832207	solute carrier family 7 member 1
TSPAN18	228819_at	0.04477	0.00167206	-3.8046919	-1.066266	-1.79353975	tetraspanin 18
CDC6	203967_at	0.04475	0.00166967	-3.8053845	-1.06494	-1.70437053	cell division cycle 6
ITGB3	211579_at	0.0446	0.00166342	3.8072004	-1.061462	2.36949129	integrin subunit beta 3
TM6SF1	219892_at	0.04459	0.00166213	3.8075772	-1.060741	1.75922943	transmembrane 6 superfamily member 1
	236625_at	0.04459	0.00166189	3.807647	-1.060607	1.46369439	
TNFRSF9	207536_s_at	0.04459	0.0016614	3.8077899	-1.060333	1.17909147	TNF receptor superfamily member 9
TRIM38	235084_x_at	0.04459	0.00165982	3.8082498	-1.059453	1.11659771	tripartite motif containing 38
MYL4	216054_x_at	0.04459	0.00166156	-3.8077421	-1.060425	-2.21242534	myosin light chain 4
